,Mkt-RF,SMB,HML,RF,WML
1950-06-01,-0.0596,-0.0241,-0.0079,0.001,-0.0158
1950-07-01,0.0137,0.0054,0.1369,0.001,-0.0052
1950-08-01,0.048600000000000004,0.0074,-0.0137,0.001,0.032
1950-09-01,0.0482,0.0059,-0.011000000000000001,0.001,-0.002
1950-10-01,-0.0019,-0.0066,0.013600000000000001,0.0012,0.0151
1950-11-01,0.0274,-0.0089,0.0319,0.0011,0.0352
1950-12-01,0.0557,0.015300000000000001,0.0727,0.0011,0.0495
1951-01-01,0.057,0.0167,0.0379,0.0013,0.0232
1951-02-01,0.013999999999999999,0.0014000000000000002,-0.0279,0.001,-0.0195
1951-03-01,-0.0216,-0.0066,-0.0426,0.0011,-0.029300000000000003
1951-04-01,0.048600000000000004,-0.0148,0.0326,0.0013,0.059800000000000006
1951-05-01,-0.0236,-0.0008,-0.014199999999999999,0.0012,-0.0096
1951-06-01,-0.0263,-0.0196,-0.0398,0.0012,-0.0245
1951-07-01,0.0695,-0.020499999999999997,0.02,0.0013,0.0718
1951-08-01,0.0429,0.0095,-0.0017000000000000001,0.0013,0.0063
1951-09-01,0.006999999999999999,0.018600000000000002,0.0062,0.0012,0.005699999999999999
1951-10-01,-0.0253,-0.0023,0.0018,0.0016,-0.0021
1951-11-01,0.0058,-0.0033,-0.0008,0.0011,0.004699999999999999
1951-12-01,0.0333,-0.022400000000000003,-0.0155,0.0012,0.0175
1952-01-01,0.014499999999999999,-0.006500000000000001,0.0148,0.0015,0.0137
1952-02-01,-0.0264,0.0085,-0.0062,0.0012,-0.0068000000000000005
1952-03-01,0.0444,-0.0297,0.0223,0.0011,0.0165
1952-04-01,-0.049699999999999994,0.0049,-0.0003,0.0012,-0.020099999999999996
1952-05-01,0.032,-0.01,0.0002,0.0013,0.005600000000000001
1952-06-01,0.0384,-0.0163,0.0124,0.0015,0.0149
1952-07-01,0.0091,-0.0040999999999999995,-0.0032,0.0015,-0.0055000000000000005
1952-08-01,-0.0077,0.0115,0.0009,0.0015,0.0034000000000000002
1952-09-01,-0.0204,0.0109,-0.014199999999999999,0.0016,0.0173
1952-10-01,-0.0066,-0.0103,-0.0055000000000000005,0.0014000000000000002,0.0273
1952-11-01,0.0596,-0.0072,0.0102,0.001,0.0036
1952-12-01,0.029300000000000003,-0.0151,0.0019,0.0016,0.0154
1953-01-01,-0.0034000000000000002,0.0354,0.0128,0.0016,0.0074
1953-02-01,-0.0027,0.0222,-0.0005,0.0014000000000000002,0.008
1953-03-01,-0.0144,-0.0021,-0.0084,0.0018,0.0014000000000000002
1953-04-01,-0.028300000000000002,0.0026,0.0155,0.0016,0.0184
1953-05-01,0.0051,-0.0005,0.0025,0.0017000000000000001,0.0091
1953-06-01,-0.0189,-0.0189,-0.005,0.0018,0.0
1953-07-01,0.024,-0.0104,-0.0025,0.0015,-0.0037
1953-08-01,-0.045599999999999995,0.0037,-0.0352,0.0017000000000000001,0.0212
1953-09-01,0.0021,-0.0085,-0.024399999999999998,0.0016,0.028999999999999998
1953-10-01,0.046,-0.013600000000000001,-0.0019,0.0013,0.0025
1953-11-01,0.028399999999999998,-0.013000000000000001,-0.0015,0.0008,0.0196
1953-12-01,0.0002,-0.0085,-0.028300000000000002,0.0013,0.0521
1954-01-01,0.0513,0.005,0.0345,0.0011,-0.0584
1954-02-01,0.0167,-0.0018,-0.0027,0.0007000000000000001,0.0104
1954-03-01,0.0366,-0.005,-0.014499999999999999,0.0008,0.0213
1954-04-01,0.042699999999999995,-0.0347,-0.0037,0.0009,0.0508
1954-05-01,0.031,0.0039000000000000003,0.0245,0.0005,-0.0202
1954-06-01,0.0108,0.0038,0.0002,0.0006,0.0355
1954-07-01,0.05,0.0105,0.0414,0.0005,0.0043
1954-08-01,-0.0235,0.0268,-0.014199999999999999,0.0005,-0.0067
1954-09-01,0.064,-0.0256,0.0068000000000000005,0.0009,0.0166
1954-10-01,-0.0167,0.0060999999999999995,0.0064,0.0007000000000000001,0.0092
1954-11-01,0.0941,-0.0265,0.044500000000000005,0.0006,0.0187
1954-12-01,0.054900000000000004,0.0218,0.056799999999999996,0.0008,-0.013999999999999999
1955-01-01,0.006,0.0024,0.021,0.0008,0.0147
1955-02-01,0.0302,0.0155,0.0060999999999999995,0.0009,0.0104
1955-03-01,-0.0015,-0.006500000000000001,0.019299999999999998,0.001,0.0096
1955-04-01,0.0311,-0.0175,0.0075,0.001,-0.0001
1955-05-01,0.009399999999999999,-0.0025,-0.0096,0.0014000000000000002,0.0060999999999999995
1955-06-01,0.0655,-0.0461,0.018500000000000003,0.001,0.0472
1955-07-01,0.0189,-0.012,0.0039000000000000003,0.001,-0.012199999999999999
1955-08-01,0.0022,-0.0046,0.0075,0.0016,0.0176
1955-09-01,-0.0037,0.003,-0.0101,0.0016,0.0183
1955-10-01,-0.026699999999999998,0.0146,-0.0011,0.0018,-0.0052
